CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
24035260,CO,Capitanejo,Capitanejo,Santander,1160,-72.69,6.52,7.88,7.50,6.88,6.23,6.23,6.22,6.84,6.83,6.28,6.12,6.51,7.53,6.75
24035270,CO,Tinaga Gja,Cerrito,Santander,2698,-72.71,6.84,6.77,5.73,5.58,4.44,4.21,3.86,4.85,4.62,4.57,4.29,4.98,6.14,5.01
24025050,CO,Charala,Charala,Santander,1350,-73.15,6.27,6.87,6.30,5.24,4.66,4.57,4.73,5.16,5.18,4.88,5.13,5.48,6.29,5.37
23125120,CO,Cimitarra,Cimitarra,Santander,300,-73.95,6.31,6.01,5.78,4.39,4.88,5.70,6.14,6.62,6.68,5.96,5.68,5.55,5.64,5.75
23195130,SP,Apto Palonegro,Lebrija,Santander,1189,-73.18,7.12,6.83,5.90,4.71,4.59,4.77,4.84,5.33,5.28,5.03,4.90,4.93,5.77,5.24
24025040,CP,Esc Agr Mogotes,Mogotes,Santander,1667,-72.97,6.47,6.93,6.37,5.51,4.77,4.80,5.06,5.78,5.76,5.28,4.98,5.39,6.34,5.58
24025020,CP,Cucharo El,Pinchote,Santander,975,-73.20,6.53,7.34,6.75,6.06,5.67,5.82,6.08,6.68,6.55,6.01,5.58,6.33,6.93,6.32
23125040,CO,Campo Capote,Puerto Parra,Santander,180,-73.92,6.62,5.98,5.54,4.44,4.62,5.26,5.74,6.61,6.08,5.69,5.07,5.18,5.56,5.48
23185010,CP,Villa Leiva,Sabana de Torres,Santander,328,-73.54,7.46,7.49,6.49,5.00,4.67,5.10,5.60,6.42,6.25,5.70,5.31,5.52,6.52,5.84
23195200,CO,Cachiri,Surata,Santander,1850,-72.99,7.47,6.84,6.28,5.55,4.43,4.30,4.83,5.41,4.99,4.37,3.96,4.69,5.95,5.13
23195090,CO,Vivero Surata,Surata,Santander,1725,-72.99,7.37,6.72,6.19,5.32,4.30,4.05,4.34,5.13,4.96,4.56,4.24,5.01,5.83,5.05
37015020,CP,Berlin Automatica,Tona,Santander,3214,-72.87,7.19,7.16,6.43,5.20,3.85,3.51,3.54,4.01,4.31,4.41,4.12,4.94,6.43,4.83
24015270,CO,Velez Granja,Velez,Santander,2170,-73.67,6.00,6.74,6.07,4.90,4.02,4.18,4.79,5.31,5.43,5.03,4.35,4.82,6.17,5.15
24055030,CO,Zapatoca,Zapatoca,Santander,1810,-73.28,6.79,6.53,5.98,5.36,4.47,4.57,3.92,5.56,5.90,5.43,4.75,4.78,5.68,5.24
13095020,CP,Primates,Coloso,Sucre,200,-75.35,9.53,5.77,6.28,5.99,4.65,3.86,4.28,4.89,4.46,4.42,4.08,4.21,4.78,4.81
25025080,SS,Apto Rafael Barvo,Corozal,Sucre,166,-75.28,9.33,7.59,7.17,5.99,4.84,4.60,5.59,6.09,5.74,4.47,4.77,5.12,6.63,5.72
25025240,CP,Majagual,Majagual,Sucre,20,-74.64,8.55,6.84,6.73,5.35,4.51,4.45,5.42,6.16,5.96,5.02,4.92,5.59,5.79,5.56
25025270,AM,Univ de Sucre,Sampues,Sucre,160,-75.40,9.21,7.33,6.80,5.68,4.79,4.39,5.46,5.97,5.52,4.69,4.56,4.91,6.15,5.52
